concept,qualifier,context,type
joining,anniversary,shape,date
weight,employment,employee,float
country,marriage,user,string
passport,social,school,string
termination,work,location,date
area,ID,shape,string
marriage,geographical,employee,date
birth,passport,location,
marriage,manager,store,date
name,geographical,shape,string
termination,social,university,date
exit,social,bank,
year,work,location,
level,marriage,employee,string
number,employment,product,integer
employment,employee,school,boolean
email,employment,university,string
gender,marriage,government,string
date,product,store,date
joining,customer,customer,date
salary,passport,organization,float
day,work,bank,
phone,address,government,string
phone,passport,product,string
ID,order,product,integer
month,order,shape,
ID,anniversary,product,integer
joining,,school,date
day,manager,organization,
email,geographical,shape,string
employment,social,bank,boolean
termination,marriage,store,date
country,customer,store,string
status,passport,store,string
salary,marriage,employee,float
name,termination,product,string
class,marriage,shape,string
country,marriage,location,enumeration
anniversary,user,shape,date
birth,employee,school,
level,customer,product,string
grade,anniversary,user,string
area,manager,user,string
grade,customer,university,string
month,marriage,customer,
time,geographical,product,string
passport,employment,bank,string
country,ID,school,string
employment,user,shape,boolean
passport,geographical,customer,string
employee_number,ID,organization,integer
progress,user,product,string
zip,employment,government,integer
anniversary,order,bank,date
number,employment,shape,integer
year,employee,customer,
class,manager,user,string
status,product,user,string
phone,work,school,string
marriage,user,government,date
level,address,bank,string
weight,address,customer,float
marriage,marriage,school,date
progress,address,customer,string
joining,termination,employee,date
salary,postal,bank,float
joining,anniversary,university,date
name,marriage,school,string
class,social,user,string
name,address,university,string
anniversary,employment,shape,date
phone,,university,string
date,termination,university,date
salary,marriage,school,float
grade,,location,enumeration
employment,employee,university,boolean
salary,marriage,university,float
date,passport,customer,date
name,user,bank,string
ID,product,user,integer
name,order,school,string
birth,address,government,
marriage,social,university,date
anniversary,social,organization,date
status,order,bank,string
employee_number,customer,product,integer
grade,product,product,string
exit,postal,store,
ID,social,government,integer
zip,postal,customer,integer
height,social,government,float
status,employee,government,enumeration
manager_status,,government,boolean
employee_number,ID,organization,integer
exit,customer,bank,
country,order,government,enumeration
salary,geographical,shape,float
number,anniversary,location,integer
class,employment,employee,string
ID,postal,user,integer
birth,anniversary,shape,
passport,passport,university,string
gender,postal,customer,string
employee_number,address,employee,integer
exit,manager,school,
height,geographical,bank,float
date,work,employee,date
country,employee,university,string
email,,university,string
name,employment,shape,string
phone,postal,user,string
month,passport,shape,
city,,government,string
country,user,school,string
level,user,store,string
grade,customer,customer,string
weight,manager,store,float
salary,social,user,float
salary,user,bank,float
gender,order,bank,string
level,manager,location,enumeration
passport,postal,user,string
email,address,product,string
gender,manager,user,string
email,employee,bank,string
manager_status,employee,store,boolean
marriage,address,employee,date
weight,passport,bank,float
name,ID,employee,string
number,marriage,university,integer
ID,employment,university,integer
anniversary,social,customer,date
number,product,government,integer
salary,address,store,float
birth,termination,store,
termination,customer,school,date
height,order,customer,float
date,employee,user,date
date,product,store,date
class,passport,shape,string
joining,product,store,date
salary,passport,store,float
year,address,employee,
gender,address,product,string
country,ID,customer,string
employee_number,employee,university,integer
phone,marriage,shape,string
passport,ID,government,string
zip,manager,school,integer
phone,postal,shape,string
year,employment,customer,
exit,employment,bank,
termination,customer,location,date
passport,,shape,string
progress,passport,customer,string
height,employment,organization,float
marriage,postal,government,date
